ngram,frequency
"('gratitude', 'journaling')",5
"('habit', 'trackers')",5
"('health', 'coach')",5
"('health', 'conditions')",5
"('help', 'better')",5
"('help', 'find')",5
"('help', 'focus')",5
"('helps', 'keep')",5
"('highs', 'lows')",5
"('https', 'supportapplecom')",5
"('https', 'weblogitcouk')",5
"('import', 'export')",5
"('improve', 'well')",5
"('improved', 'mental')",5
"('insights', 'help')",5
"('interface', 'makes')",5
"('intuitive', 'design')",5
"('ipad', 'apple')",5
"('ipad', 'iphone')",5
"('journal', 'journal')",5
"('journal', 'keep')",5
"('journal', 'notes')",5
"('journal', 'photos')",5
"('journal', 'planner')",5
"('journal', 'record')",5
"('journal', 'track')",5
"('journal', 'use')",5
"('journaling', 'easy')",5
"('journaling', 'templates')",5
"('journey', 'towards')",5
"('keep', 'entries')",5
"('keep', 'eye')",5
"('keeping', 'diary')",5
"('know', 'better')",5
"('law', 'attraction')",5
"('life', 'diary')",5
"('life', 'gratitude')",5
"('life', 'planner')",5
"('life', 'want')",5
"('like', 'never')",5
"('little', 'bit')",5
"('lock', 'app')",5
"('lock', 'feature')",5
"('lock', 'make')",5
"('lock', 'password')",5
"('log', 'mood')",5
"('make', 'feel')",5
"('make', 'personal')",5
"('manage', 'anxiety')",5
"('manage', 'daily')",5
"('managed', 'auto')",5
"('managed', 'canceled')",5
"('medical', 'professional')",5
"('memories', 'keep')",5
"('memories', 'photos')",5
"('minutes', 'health')",5
"('mobile', 'phone')",5
"('moleskine', 'journey')",5
"('moments', 'memories')",5
"('month', 'months')",5
"('mood', 'daily')",5
"('mood', 'day')",5
"('mood', 'easy')",5
"('mood', 'mood')",5
"('mood', 'symptoms')",5
"('need', 'write')",5
"('negative', 'situations')",5
"('never', 'lose')",5
"('note', 'app')",5
"('notes', 'easily')",5
"('notifications', 'set')",5
"('offline', 'diary')",5
"('one', 'app')",5
"('one', 'year')",5
"('open', 'app')",5
"('organize', 'thoughts')",5
"('patterns', 'emotions')",5
"('pay', 'attention')",5
"('personal', 'data')",5
"('personalize', 'journal')",5
"('personalized', 'questions')",5
"('photos', 'add')",5
"('photos', 'diary')",5
"('photos', 'entries')",5
"('photos', 'make')",5
"('physical', 'activity')",5
"('plan', 'daily')",5
"('please', 'email')",5
"('please', 'read')",5
"('positive', 'changes')",5
"('positive', 'outlook')",5
"('positive', 'self')",5
"('positive', 'things')",5
"('powerful', 'search')",5
"('precious', 'memories')",5
"('premium', 'feature')",5
"('price', 'within')",5
"('prioritize', 'mental')",5
"('privacy', 'policyhttps')",5
"('private', 'data')",5
"('private', 'notes')",5
"('private', 'space')",5
"('pro', 'access')",5
"('progress', 'get')",5
"('prompted', 'journal')",5
"('purchase', 'cancellation')",5
"('purchase', 'payment')",5
"('question', 'diary')",5
"('quickly', 'easily')",5
"('quotes', 'inspire')",5
"('read', 'diary')",5
"('read', 'privacy')",5
"('record', 'emotions')",5
"('recorded', 'moods')",5
"('reduced', 'anxiety')",5
"('reflect', 'life')",5
"('reflection', 'daily')",5
"('reflection', 'personal')",5
"('reminders', 'notifications')",5
"('reminders', 'set')",5
"('renewal', 'total')",5
"('right', 'away')",5
"('safe', 'space')",5
"('say', 'hi')",5
"('schedule', 'daily')",5
"('scientifically', 'proven')",5
"('screen', 'lock')",5
"('search', 'diary')",5
"('seasons', 'premium')",5
"('self', 'development')",5
"('set', 'mood')",5
"('set', 'passcode')",5
"('settings', 'app')",5
"('simple', 'beautiful')",5
"('single', 'app')",5
"('start', 'tracking')",5
